camera_name,url,scheme,protocol_note,reachable,status,error,screenshot_path,checked_at
Exterior Street View,http://61.211.241.239/nphMotionJpeg?Resolution=320x240&Quality=Standard,http,"URL uses HTTP(S), not RTSP. This is likely an MJPEG-over-HTTP camera (common with older/legacy models). It can still be tested, but flag to the client that this is not a true RTSP stream.",True,VALID,,output/screenshots/Exterior_Street_View.jpg,2026-08-15T10:25:53.609628+00:00
Outside Junction,http://217.180.234.228/mjpg/video.mjpg,http,"URL uses HTTP(S), not RTSP. This is likely an MJPEG-over-HTTP camera (common with older/legacy models). It can still be tested, but flag to the client that this is not a true RTSP stream.",True,VALID,,output/screenshots/Outside_Junction.jpg,2026-08-15T10:25:59.220740+00:00
